id,year,inCitations,author_id,author_name
9c37108f1cac9758914f283e86a6be1f6cea3262,2016,0,1788109,Shreyas Sundaram
9c37108f1cac9758914f283e86a6be1f6cea3262,2016,0,2049109,Kalyanam Krishnamoorthy
9c37108f1cac9758914f283e86a6be1f6cea3262,2016,0,2508981,David W. Casbeer
9e2b0a74d8e7953742a71b68042f5bbabbfe8b61,2015,0,7821287,Eric Bax
9e2b0a74d8e7953742a71b68042f5bbabbfe8b61,2015,0,4706995,James Li
9e2b0a74d8e7953742a71b68042f5bbabbfe8b61,2015,0,1740317,Zheng Wen
9f119a94c17a9c189258160491509665fdbf4daf,2015,0,3102713,Morteza Hashemi
9fdb01bc01668526eb4b9534a5c7ee2ad4cd8e9e,2010,16,3100914,Jan Ekstein
9fdb01bc01668526eb4b9534a5c7ee2ad4cd8e9e,2010,16,3488937,Jirí Fiala
9fdb01bc01668526eb4b9534a5c7ee2ad4cd8e9e,2010,16,2172244,Premysl Holub
9fdb01bc01668526eb4b9534a5c7ee2ad4cd8e9e,2010,16,1718606,Bernard Lidický
a01407a9b299fddaa2b75f900691db2da6c2ac98,2010,3,2268538,V. S. Meenakshi
a01407a9b299fddaa2b75f900691db2da6c2ac98,2010,3,7205465,G. Padmavathi
a11805d245dd358bd80daa45c72e31de1f9e8ac4,2015,3,3232827,Saeid Sahraei
a11805d245dd358bd80daa45c72e31de1f9e8ac4,2015,3,1792424,Michael Gastpar
a1bca60946b620d9c4a0f6b7a6641eeab81c0639,2016,0,2315830,Ronen Eldan
a1bca60946b620d9c4a0f6b7a6641eeab81c0639,2016,0,3468956,Dan Mikulincer
a22cc0f40fabc10724b11d473cf003b22f0d7211,2016,3,1724913,Matthew O. Jackson
a2368d52367b74e49a2c21fa0c2072f61b0d3c32,2012,3,1733303,Frank Schweitzer
a2368d52367b74e49a2c21fa0c2072f61b0d3c32,2012,3,1726381,Laxmidhar Behera
a2e622f94a6726c6e3150f747d59855ee79a5b6c,2016,5,1939695,Zhengping Che
a2e622f94a6726c6e3150f747d59855ee79a5b6c,2016,5,2223022,Sanjay Purushotham
a2e622f94a6726c6e3150f747d59855ee79a5b6c,2016,5,3088812,Kyunghyun Cho
a2e622f94a6726c6e3150f747d59855ee79a5b6c,2016,5,4608166,David Sontag
a2e622f94a6726c6e3150f747d59855ee79a5b6c,2016,5,1681842,Yan Liu
a46637ca99e008ab3f9dd615e0f68af0194dfafe,2013,0,2644951,Ahmed Rhif
a46637ca99e008ab3f9dd615e0f68af0194dfafe,2013,0,2506965,Zohra Kardous
a46637ca99e008ab3f9dd615e0f68af0194dfafe,2013,0,7768405,Naceur BenHadj Braiek
a474d17e1803a99d95d3d202516c98bdd8ef411b,2011,4,1810011,Fernando Hernando
a474d17e1803a99d95d3d202516c98bdd8ef411b,2011,4,1780267,Diego Ruano
a583009960c0b3fb658335154e1251bcf2d6ed69,2009,0,1794227,Jaydip Sen
a583009960c0b3fb658335154e1251bcf2d6ed69,2009,0,2931708,Munir Sayyad
a583009960c0b3fb658335154e1251bcf2d6ed69,2009,0,2384816,Basavaraj Hooli
a5c3bcb57977b1b53aaf1a5798455fa21b709cc9,2013,0,2416022,Laurent Tapie
a5c3bcb57977b1b53aaf1a5798455fa21b709cc9,2013,0,2977936,Kwamiwi Mawussi
